Asset_ID,Category,Manufacturer,Model,Location,Status,Purchase_Date,Warranty_Expiry,Department,Owner_Name,Cost_INR
AST-1045,Laptop,ASUS,Laptop-Model-686,Cloud,Decommissioned,2021-07-15,2030-02-23,Finance,Employee-2453,1692
AST-1046,Laptop,HP,Laptop-Model-788,Cloud,Decommissioned,2021-04-29,2029-09-27,Operations,Employee-182,1420
AST-1047,Laptop,HP,Laptop-Model-386,Data Center,Decommissioned,2025-05-18,2030-06-23,Marketing,Employee-4421,4513
AST-1048,Laptop,Apple,Laptop-Model-980,Branch Office 1,Under Maintenance,2023-02-18,2030-07-19,Support,Employee-2421,1472
AST-1049,Laptop,HP,Laptop-Model-888,Branch Office 2,Under Maintenance,2023-11-08,2028-07-19,Marketing,Employee-3222,492
AST-1050,Laptop,HP,Laptop-Model-487,Data Center,Inactive,2024-09-24,2028-05-23,Support,Employee-3907,2873
AST-1051,Laptop,Lenovo,Laptop-Model-955,Cloud,Under Maintenance,2021-09-18,2030-01-28,Marketing,Employee-691,2914
AST-1052,Laptop,Dell,Laptop-Model-462,Branch Office 1,Decommissioned,2023-06-27,2030-01-13,IT,Employee-4046,3563
AST-1053,Laptop,Apple,Laptop-Model-249,Cloud,Inactive,2025-01-02,2029-08-10,Finance,Employee-3704,4549
AST-1054,Laptop,ASUS,Laptop-Model-718,Cloud AWS,Under Maintenance,2025-11-27,2028-09-24,Operations,Employee-4684,3168
AST-1055,Laptop,ASUS,Laptop-Model-524,On-Prem,Active,2025-05-30,2030-03-06,IT,Employee-1181,1219
AST-1056,Laptop,Apple,Laptop-Model-878,Branch Office 2,Decommissioned,2022-01-03,2030-12-16,Support,Employee-1594,471
AST-1057,Laptop,ASUS,Laptop-Model-991,Branch Office 2,Under Maintenance,2022-03-08,2029-01-24,IT,Employee-1733,2003
AST-1058,Laptop,ASUS,Laptop-Model-523,Branch Office 1,Under Maintenance,2021-09-28,2029-09-06,Support,Employee-4004,2299
AST-1059,Laptop,ASUS,Laptop-Model-765,Data Center,Decommissioned,2024-03-05,2027-12-25,Sales,Employee-273,3070
AST-1060,Laptop,ASUS,Laptop-Model-277,Cloud AWS,Under Maintenance,2025-10-07,2030-08-11,Support,Employee-1070,615
AST-1061,Laptop,ASUS,Laptop-Model-612,Cloud AWS,Inactive,2024-05-08,2029-01-01,IT,Employee-3558,2151
AST-1062,Laptop,Lenovo,Laptop-Model-303,Branch Office 2,Under Maintenance,2022-12-25,2029-07-23,IT,Employee-3296,4215
AST-1063,Laptop,HP,Laptop-Model-261,Branch Office 1,Decommissioned,2023-03-23,2030-12-30,Sales,Employee-478,2399
AST-1064,Laptop,HP,Laptop-Model-515,Branch Office 1,Inactive,2024-10-28,2029-05-27,Operations,Employee-483,2526
AST-1065,Laptop,Lenovo,Laptop-Model-752,Cloud AWS,Under Maintenance,2023-04-25,2029-03-15,Marketing,Employee-1719,3047
AST-1066,Laptop,Dell,Laptop-Model-731,Cloud,Under Maintenance,2022-02-10,2028-03-14,Support,Employee-2603,371
AST-1067,Laptop,Dell,Laptop-Model-150,Branch Office 2,Decommissioned,2024-03-10,2027-08-15,Support,Employee-4233,2444
AST-1068,Laptop,ASUS,Laptop-Model-444,On-Prem,Under Maintenance,2023-02-23,2028-09-26,IT,Employee-3824,4599
AST-1069,Laptop,Apple,Laptop-Model-851,Cloud,Active,2024-11-28,2028-06-13,HR,Employee-2889,2709
AST-1070,Laptop,Lenovo,Laptop-Model-736,Data Center,Active,2021-07-23,2029-09-01,Finance,Employee-1411,1901
AST-1071,Laptop,ASUS,Laptop-Model-436,Cloud AWS,Active,2023-06-28,2030-11-25,Sales,Employee-3108,2894
AST-1072,Laptop,HP,Laptop-Model-371,Data Center,Inactive,2022-05-07,2030-09-29,Operations,Employee-4175,4987
AST-1073,Laptop,ASUS,Laptop-Model-944,Cloud,Active,2024-06-09,2028-05-08,IT,Employee-3307,1378
AST-1074,Laptop,ASUS,Laptop-Model-114,Data Center,Active,2024-03-08,2030-01-24,Sales,Employee-2967,3141
AST-1075,Laptop,HP,Laptop-Model-748,On-Prem,Inactive,2022-01-02,2028-03-27,Sales,Employee-4384,4259
AST-1076,Laptop,Lenovo,Laptop-Model-127,Cloud,Decommissioned,2022-02-18,2030-11-21,Support,Employee-4881,3327
AST-1077,Laptop,Apple,Laptop-Model-980,Branch Office 2,Decommissioned,2023-01-09,2028-11-15,Marketing,Employee-3284,3421
AST-1078,Laptop,ASUS,Laptop-Model-809,On-Prem,Decommissioned,2021-03-21,2028-02-09,Marketing,Employee-1867,1548
AST-1079,Laptop,Dell,Laptop-Model-526,Cloud AWS,Decommissioned,2023-07-21,2028-11-08,Sales,Employee-1693,790
AST-1080,Laptop,Dell,Laptop-Model-863,On-Prem,Inactive,2023-04-09,2027-09-09,IT,Employee-3217,4427
AST-1081,Laptop,Dell,Laptop-Model-371,Branch Office 2,Active,2021-06-06,2029-11-06,Operations,Employee-318,427
AST-1082,Laptop,Lenovo,Laptop-Model-969,On-Prem,Inactive,2024-01-26,2028-08-16,Marketing,Employee-765,1061
AST-1083,Laptop,HP,Laptop-Model-831,Branch Office 1,Under Maintenance,2024-09-30,2027-10-17,Finance,Employee-3371,1332
AST-1084,Laptop,HP,Laptop-Model-428,Cloud AWS,Under Maintenance,2023-07-25,2029-04-12,Finance,Employee-2466,3996
AST-1085,Laptop,Apple,Laptop-Model-784,Branch Office 1,Under Maintenance,2022-02-18,2030-12-31,Sales,Employee-832,1480
AST-1086,Laptop,Lenovo,Laptop-Model-122,Branch Office 1,Decommissioned,2023-01-19,2029-08-27,HR,Employee-1409,1236
AST-1087,Laptop,Lenovo,Laptop-Model-286,Data Center,Active,2024-08-24,2030-04-07,Marketing,Employee-2981,415
AST-1088,Laptop,Lenovo,Laptop-Model-233,Cloud AWS,Under Maintenance,2023-05-10,2030-12-17,Marketing,Employee-3450,3285
AST-1089,Laptop,Apple,Laptop-Model-697,On-Prem,Inactive,2024-07-10,2029-12-07,Sales,Employee-503,3708
AST-1090,Laptop,Dell,Laptop-Model-535,Branch Office 2,Active,2025-12-13,2027-09-03,Support,Employee-2002,4412
AST-1091,Laptop,ASUS,Laptop-Model-983,Branch Office 1,Under Maintenance,2024-07-19,2029-04-30,Marketing,Employee-2958,1059
AST-1092,Laptop,HP,Laptop-Model-952,On-Prem,Inactive,2022-04-18,2029-03-03,HR,Employee-4091,1672
AST-1093,Laptop,Dell,Laptop-Model-370,Branch Office 1,Active,2024-08-28,2029-02-27,Marketing,Employee-737,4360
AST-1094,Laptop,Apple,Laptop-Model-878,Branch Office 2,Under Maintenance,2021-03-31,2030-09-19,Finance,Employee-1952,2278
AST-1095,Laptop,HP,Laptop-Model-218,Cloud AWS,Under Maintenance,2022-02-09,2029-03-26,Finance,Employee-982,4044
AST-1096,Laptop,Apple,Laptop-Model-896,Branch Office 1,Active,2023-02-26,2028-09-26,Support,Employee-4453,3278
AST-1097,Laptop,Dell,Laptop-Model-688,Data Center,Under Maintenance,2021-09-27,2030-12-12,Marketing,Employee-906,3189
AST-1098,Laptop,Lenovo,Laptop-Model-762,Branch Office 2,Decommissioned,2025-10-07,2027-12-16,Operations,Employee-3813,243
AST-1099,Laptop,Lenovo,Laptop-Model-460,Data Center,Inactive,2026-01-19,2029-11-29,Support,Employee-2665,570
AST-1100,Laptop,Lenovo,Laptop-Model-754,Data Center,Decommissioned,2024-05-07,2030-09-16,Operations,Employee-3392,1127
AST-1101,Laptop,HP,Laptop-Model-895,Data Center,Inactive,2024-01-10,2028-02-06,Finance,Employee-4323,1725
AST-1102,Laptop,Dell,Laptop-Model-811,Branch Office 2,Active,2026-01-23,2027-12-22,Operations,Employee-3248,726
AST-1103,Laptop,Apple,Laptop-Model-951,On-Prem,Inactive,2025-03-28,2027-11-16,HR,Employee-2507,689
AST-1104,Laptop,HP,Laptop-Model-363,On-Prem,Under Maintenance,2023-05-31,2028-06-06,Sales,Employee-242,3632
AST-1105,Laptop,ASUS,Laptop-Model-695,Branch Office 2,Decommissioned,2024-10-29,2028-05-10,IT,Employee-4905,3856
AST-1106,Laptop,Dell,Laptop-Model-541,Data Center,Decommissioned,2021-08-09,2028-11-28,IT,Employee-839,4105
AST-1107,Laptop,HP,Laptop-Model-792,On-Prem,Inactive,2022-11-28,2029-04-02,Operations,Employee-898,1399
AST-1108,Laptop,HP,Laptop-Model-142,On-Prem,Under Maintenance,2023-03-30,2029-11-29,Finance,Employee-3023,1610
AST-1109,Laptop,Lenovo,Laptop-Model-448,Cloud,Under Maintenance,2025-03-15,2031-02-27,HR,Employee-366,2084
AST-1110,Laptop,Lenovo,Laptop-Model-572,Branch Office 1,Under Maintenance,2021-09-01,2029-12-05,Support,Employee-89,1543
AST-1111,Laptop,Dell,Laptop-Model-709,Data Center,Active,2025-09-27,2028-12-18,Marketing,Employee-1677,435
AST-1112,Laptop,Dell,Laptop-Model-336,Data Center,Under Maintenance,2025-03-21,2031-02-27,Sales,Employee-4098,3308
AST-1113,Laptop,Apple,Laptop-Model-211,Branch Office 2,Inactive,2023-10-30,2030-08-02,HR,Employee-655,4469
AST-1114,Laptop,Dell,Laptop-Model-241,Data Center,Active,2022-09-18,2028-11-29,Operations,Employee-428,3050
AST-1115,Laptop,Lenovo,Laptop-Model-752,On-Prem,Decommissioned,2022-08-04,2030-04-19,Finance,Employee-1783,1276
AST-1116,Laptop,Apple,Laptop-Model-705,Data Center,Decommissioned,2024-10-27,2030-10-13,Operations,Employee-3553,723
AST-1117,Laptop,HP,Laptop-Model-761,Cloud AWS,Active,2021-11-11,2028-06-14,IT,Employee-421,1112
AST-1118,Laptop,Dell,Laptop-Model-705,On-Prem,Under Maintenance,2025-03-01,2027-12-14,Support,Employee-2964,2676
AST-1119,Laptop,HP,Laptop-Model-869,Branch Office 2,Inactive,2022-12-31,2029-12-22,Finance,Employee-4792,2930
AST-1120,Laptop,Dell,Laptop-Model-975,Data Center,Inactive,2025-11-03,2027-04-14,Support,Employee-530,3388
AST-1121,Laptop,Apple,Laptop-Model-641,Cloud AWS,Active,2022-02-27,2030-12-29,Marketing,Employee-787,1772
AST-1122,Laptop,HP,Laptop-Model-981,Branch Office 2,Active,2026-01-03,2027-08-29,Support,Employee-329,850
AST-1123,Laptop,HP,Laptop-Model-459,Data Center,Under Maintenance,2022-02-23,2028-02-08,Support,Employee-2964,2698
AST-1124,Laptop,Apple,Laptop-Model-898,Data Center,Inactive,2022-06-04,2027-04-15,IT,Employee-1577,1137
AST-1125,Laptop,HP,Laptop-Model-294,Data Center,Active,2023-02-14,2028-08-28,HR,Employee-3567,3111
AST-1126,Laptop,ASUS,Laptop-Model-327,Data Center,Inactive,2025-04-07,2029-12-18,Sales,Employee-2336,4563
AST-1127,Laptop,HP,Laptop-Model-275,Data Center,Under Maintenance,2021-05-02,2030-07-01,Sales,Employee-4718,1842
AST-1128,Laptop,HP,Laptop-Model-895,Cloud AWS,Decommissioned,2022-10-23,2029-04-01,Operations,Employee-2365,1510
AST-1129,Laptop,ASUS,Laptop-Model-464,Cloud AWS,Decommissioned,2023-05-16,2030-04-03,Operations,Employee-4762,4150
AST-1130,Laptop,Apple,Laptop-Model-802,Data Center,Decommissioned,2022-11-23,2028-05-05,Support,Employee-3014,1747
AST-1131,Laptop,Dell,Laptop-Model-645,Branch Office 1,Decommissioned,2021-12-01,2030-12-14,Finance,Employee-2727,3816
AST-1132,Laptop,ASUS,Laptop-Model-778,Data Center,Inactive,2025-11-08,2027-04-04,Support,Employee-3495,4543
AST-1133,Laptop,Dell,Laptop-Model-406,Cloud AWS,Decommissioned,2025-01-16,2027-10-26,IT,Employee-2280,2796
AST-1134,Laptop,Lenovo,Laptop-Model-303,Data Center,Active,2023-10-07,2028-01-12,HR,Employee-3041,2449
AST-1135,Laptop,ASUS,Laptop-Model-913,Branch Office 2,Inactive,2024-08-24,2030-01-22,Support,Employee-389,4881
AST-1136,Laptop,ASUS,Laptop-Model-143,Data Center,Active,2021-03-06,2031-01-28,Marketing,Employee-2626,1931
AST-1137,Laptop,Lenovo,Laptop-Model-397,Cloud,Under Maintenance,2024-11-19,2028-08-20,Marketing,Employee-1877,3120
AST-1138,Laptop,Lenovo,Laptop-Model-806,Branch Office 2,Decommissioned,2022-06-17,2028-05-25,Operations,Employee-3379,1456
AST-1139,Laptop,HP,Laptop-Model-820,Branch Office 2,Under Maintenance,2024-02-09,2027-06-10,Finance,Employee-4241,1211
AST-1140,Laptop,Dell,Laptop-Model-213,Branch Office 2,Inactive,2024-06-25,2031-02-27,Operations,Employee-1249,1029
AST-1141,Laptop,Apple,Laptop-Model-397,Data Center,Decommissioned,2023-06-13,2029-03-09,Support,Employee-2248,213
AST-1142,Laptop,ASUS,Laptop-Model-374,Branch Office 2,Under Maintenance,2024-06-20,2028-06-20,Operations,Employee-3810,2855
AST-1143,Laptop,HP,Laptop-Model-420,Cloud,Under Maintenance,2022-05-24,2028-06-26,IT,Employee-4608,1589
AST-1144,Laptop,ASUS,Laptop-Model-430,On-Prem,Active,2024-01-27,2030-11-13,Sales,Employee-4311,3201
AST-1145,Laptop,Dell,Laptop-Model-787,Cloud AWS,Under Maintenance,2024-11-19,2028-12-29,Sales,Employee-2390,3422
AST-1146,Laptop,Lenovo,Laptop-Model-826,Data Center,Under Maintenance,2021-07-22,2030-11-17,HR,Employee-781,1933
AST-1147,Laptop,Lenovo,Laptop-Model-607,Cloud,Under Maintenance,2022-02-06,2028-04-08,HR,Employee-4976,3757
AST-1148,Laptop,HP,Laptop-Model-776,Branch Office 1,Under Maintenance,2023-07-23,2029-08-27,Finance,Employee-3779,3541
AST-1149,Laptop,Lenovo,Laptop-Model-445,On-Prem,Decommissioned,2023-08-04,2027-06-05,Finance,Employee-340,1294
AST-1150,Laptop,HP,Laptop-Model-800,Cloud,Inactive,2024-11-23,2030-11-17,IT,Employee-840,3878
AST-1151,Laptop,ASUS,Laptop-Model-566,Branch Office 1,Inactive,2021-10-17,2030-09-14,IT,Employee-2978,4774
AST-1152,Laptop,Dell,Laptop-Model-784,Branch Office 1,Active,2024-06-17,2028-01-10,Finance,Employee-3321,3507
AST-1153,Laptop,ASUS,Laptop-Model-587,Cloud AWS,Active,2022-11-26,2027-12-02,HR,Employee-86,1877
AST-1154,Laptop,Dell,Laptop-Model-161,Data Center,Inactive,2024-02-15,2027-05-10,IT,Employee-2638,4765
AST-1155,Laptop,Lenovo,Laptop-Model-371,On-Prem,Active,2022-01-28,2029-11-25,Support,Employee-2472,2085
AST-1156,Laptop,Apple,Laptop-Model-828,Branch Office 2,Decommissioned,2022-02-16,2030-05-31,Finance,Employee-1842,4365
AST-1157,Laptop,Lenovo,Laptop-Model-105,On-Prem,Decommissioned,2021-06-06,2028-07-17,Sales,Employee-476,4986
AST-1158,Laptop,Dell,Laptop-Model-840,Branch Office 2,Inactive,2022-08-13,2029-06-23,Operations,Employee-4876,4989
AST-1159,Laptop,Lenovo,Laptop-Model-997,On-Prem,Active,2021-06-07,2029-12-08,HR,Employee-2475,1672
AST-1160,Laptop,HP,Laptop-Model-791,On-Prem,Active,2023-09-13,2030-01-26,Operations,Employee-2860,3846
AST-1161,Laptop,HP,Laptop-Model-830,On-Prem,Under Maintenance,2024-09-30,2030-07-28,Operations,Employee-4741,3980
AST-1162,Laptop,Lenovo,Laptop-Model-788,On-Prem,Active,2024-04-02,2028-08-26,Finance,Employee-4080,2193
AST-1163,Laptop,HP,Laptop-Model-644,Cloud,Active,2023-02-11,2028-06-12,Marketing,Employee-3684,2897
AST-1164,Laptop,Lenovo,Laptop-Model-187,Branch Office 2,Inactive,2025-01-30,2031-02-17,HR,Employee-4654,4057
AST-1165,Laptop,ASUS,Laptop-Model-818,Data Center,Inactive,2022-04-08,2027-06-23,Operations,Employee-1524,532
AST-1166,Laptop,HP,Laptop-Model-740,Branch Office 1,Decommissioned,2022-05-14,2031-02-13,Sales,Employee-4463,4542
AST-1167,Laptop,HP,Laptop-Model-639,Data Center,Under Maintenance,2022-04-09,2028-12-01,Operations,Employee-3856,3395
AST-1168,Laptop,Lenovo,Laptop-Model-682,Cloud,Inactive,2025-01-18,2030-08-09,IT,Employee-315,500
AST-1169,Laptop,HP,Laptop-Model-979,Branch Office 1,Under Maintenance,2022-07-02,2030-03-26,Sales,Employee-1660,1344
AST-1170,Laptop,ASUS,Laptop-Model-909,Branch Office 1,Active,2022-08-12,2031-02-16,Sales,Employee-51,4814
AST-1171,Laptop,Lenovo,Laptop-Model-166,Data Center,Active,2021-08-05,2029-10-17,Support,Employee-1090,1892
AST-1172,Laptop,ASUS,Laptop-Model-327,Branch Office 1,Inactive,2022-10-31,2029-02-26,Sales,Employee-2295,2826
AST-1173,Laptop,HP,Laptop-Model-273,Cloud AWS,Under Maintenance,2025-02-04,2030-08-02,Marketing,Employee-4308,4355
AST-1174,Laptop,Lenovo,Laptop-Model-750,Cloud,Active,2024-08-25,2027-09-08,Finance,Employee-2131,3811
AST-1175,Laptop,Dell,Laptop-Model-619,Cloud AWS,Active,2021-04-04,2028-03-07,HR,Employee-938,4397
AST-1176,Laptop,HP,Laptop-Model-348,Data Center,Under Maintenance,2025-11-15,2030-04-17,IT,Employee-3,4752
AST-1177,Laptop,Apple,Laptop-Model-327,Branch Office 2,Decommissioned,2022-05-10,2028-07-16,Support,Employee-4631,3858
AST-1178,Laptop,ASUS,Laptop-Model-323,Cloud AWS,Decommissioned,2023-09-03,2027-04-05,Sales,Employee-2275,2336
AST-1179,Laptop,Lenovo,Laptop-Model-615,Branch Office 1,Under Maintenance,2022-07-28,2030-04-14,Support,Employee-3001,1713
AST-1180,Laptop,Lenovo,Laptop-Model-733,Cloud,Decommissioned,2021-05-15,2027-09-27,Operations,Employee-689,1523
AST-1181,Laptop,Dell,Laptop-Model-781,Cloud,Active,2022-07-30,2030-12-13,Marketing,Employee-247,3272
AST-1182,Laptop,Lenovo,Laptop-Model-128,On-Prem,Active,2024-03-05,2030-02-24,Finance,Employee-2790,1421
AST-1183,Laptop,Lenovo,Laptop-Model-604,Data Center,Decommissioned,2021-06-28,2027-11-08,IT,Employee-4711,3860
AST-1184,Laptop,Apple,Laptop-Model-451,Branch Office 2,Decommissioned,2021-06-19,2029-02-19,IT,Employee-1320,2319
AST-1185,Laptop,HP,Laptop-Model-709,Data Center,Decommissioned,2021-08-31,2030-04-14,HR,Employee-4469,600
AST-1186,Laptop,ASUS,Laptop-Model-403,On-Prem,Decommissioned,2024-04-05,2031-01-12,Sales,Employee-3685,392
AST-1187,Laptop,Apple,Laptop-Model-657,Cloud,Inactive,2021-07-27,2030-01-04,Finance,Employee-651,3241
AST-1188,Laptop,Lenovo,Laptop-Model-773,Cloud AWS,Inactive,2025-01-28,2030-09-11,Sales,Employee-2881,3216
AST-1189,Laptop,HP,Laptop-Model-720,Cloud,Inactive,2022-01-30,2029-02-19,Finance,Employee-173,2488
AST-1190,Laptop,HP,Laptop-Model-561,Branch Office 2,Active,2022-08-22,2028-04-08,Operations,Employee-1124,4820
AST-1191,Laptop,ASUS,Laptop-Model-998,Cloud,Decommissioned,2022-06-14,2030-10-19,Sales,Employee-1453,2022
AST-1192,Laptop,Apple,Laptop-Model-551,Branch Office 1,Active,2025-09-18,2031-02-03,IT,Employee-4196,699
AST-1193,Laptop,Apple,Laptop-Model-974,Branch Office 2,Active,2026-02-26,2027-03-25,Marketing,Employee-1322,1135
AST-1194,Laptop,HP,Laptop-Model-713,Data Center,Active,2024-06-23,2030-04-01,Sales,Employee-3214,372
AST-1195,Laptop,HP,Laptop-Model-407,Cloud,Active,2023-10-13,2030-04-07,Finance,Employee-1693,3974
AST-1196,Laptop,ASUS,Laptop-Model-604,Branch Office 2,Active,2024-04-06,2028-03-18,Operations,Employee-1989,3280
AST-1197,Laptop,HP,Laptop-Model-222,On-Prem,Active,2022-03-31,2028-09-24,Operations,Employee-147,898
AST-1198,Laptop,Dell,Laptop-Model-319,Cloud,Under Maintenance,2022-02-17,2028-09-25,Marketing,Employee-220,2921
AST-1199,Laptop,HP,Laptop-Model-913,Cloud AWS,Active,2023-03-19,2029-12-12,IT,Employee-3820,1190
AST-1200,Laptop,Lenovo,Laptop-Model-362,On-Prem,Inactive,2022-10-01,2027-09-27,Marketing,Employee-401,4826
AST-1201,Laptop,ASUS,Laptop-Model-626,Data Center,Under Maintenance,2023-07-21,2031-01-01,Sales,Employee-4415,1737
AST-1202,Laptop,ASUS,Laptop-Model-394,Data Center,Under Maintenance,2021-03-19,2028-04-03,IT,Employee-3709,2496
AST-1203,Laptop,Dell,Laptop-Model-762,On-Prem,Inactive,2022-01-13,2030-06-14,HR,Employee-4896,327
AST-1204,Laptop,Apple,Laptop-Model-777,Cloud,Under Maintenance,2022-01-08,2029-07-22,HR,Employee-4180,2646
AST-1205,Laptop,ASUS,Laptop-Model-806,Branch Office 1,Active,2025-01-20,2027-12-31,Marketing,Employee-152,4023
AST-1206,Laptop,HP,Laptop-Model-798,On-Prem,Inactive,2023-11-29,2028-11-22,Support,Employee-3606,1733
AST-1207,Laptop,Lenovo,Laptop-Model-730,Cloud,Inactive,2022-10-05,2027-03-12,Support,Employee-4034,3691
AST-1208,Laptop,HP,Laptop-Model-616,Branch Office 1,Active,2022-03-18,2030-03-27,IT,Employee-3392,1037
AST-1209,Laptop,Dell,Laptop-Model-579,Data Center,Decommissioned,2023-12-07,2031-01-26,Finance,Employee-794,1137
AST-1210,Laptop,Lenovo,Laptop-Model-410,Cloud AWS,Active,2025-10-03,2030-01-19,IT,Employee-1579,2209
AST-1211,Laptop,ASUS,Laptop-Model-366,Branch Office 1,Under Maintenance,2022-01-30,2029-12-03,Marketing,Employee-2611,510
AST-1212,Laptop,Dell,Laptop-Model-176,Branch Office 2,Decommissioned,2025-06-25,2028-10-02,Marketing,Employee-4598,668
AST-1213,Laptop,HP,Laptop-Model-716,Cloud AWS,Under Maintenance,2022-10-15,2029-11-08,Marketing,Employee-4350,3365
